District;Name;TypeObject;Longitude;Latitude;Рейтинг;Отзывы;Y;Norm Y
Тверской;PAUL;кафе;37.5882700000000090;55.7786367639912510;4,5;197;44,49768262;66,40291585
Тверской;Мамина кухня;магазин (отдел кулинарии);37.5886247165423200;55.7723493048821910;4,3;39;35,55554688;47,18218812
Тверской;CHEESE connection;кафе;37.5887859999999990;55.7790027640977330;4,3;130;40,73262994;58,3101006
Тверской;Жажда крови;ресторан;37.5887859999999990;55.7790027640977330;4,5;92;41,07131443;59,03808804
Тверской;Steak it Easy;ресторан;37.5887859999999990;55.7790027640977330;4,6;386;48,58063476;75,17904201
Тверской;Finch Coffee;кафетерий;37.5894160000000140;55.7786277639886380;4,3;12;30,48733039;36,28827955
Тверской;Мята Poke 4you;бар;37.5897709999999850;55.7797817643243620;4,3;58;37,26213675;50,85042803
Тверской;Ай Plov Ю;кафе;37.5897827019675220;55.7903622518165890;4,6;90;41,88290734;60,78257132
Тверской;Прайм;ресторан;37.5907153362433850;55.7712151977244730;3,3;3;18,82248217;11,21520099
Тверской;HURAT'S PUB;бар;37.5907929999999980;55.7734667624875510;4,6;112;42,88887766;62,94486031
Тверской;Теремок;предприятие быстрого обслуживания;37.5908530000000170;55.7711177618045890;4,2;79;37,69339576;51,77740033
Тверской;ВЕРАНДА 14 Beer Pairing;ресторан;37.5908788913208620;55.7797235992744190;4,2;133;39,88118112;56,47994879
Тверской;Кулинарная лавка братьев Караваевых;магазин (отдел кулинарии);37.5909727461777550;55.7714862602793740;4,3;246;43,4751574;64,20504285
Тверской;Тирольские пироги;кафе;37.5910270000000000;55.7725780000000000;4,5;45;37,85324704;52,12099362
Тверской;Хинкальная;кафе;37.5911564209065360;55.7882386889502090;4,2;36;34,39249432;44,68225777
Тверской;Desert rose;ресторан;37.5911669999999990;55.7738797626076560;4,3;241;43,38685861;64,01524848
Тверской;BLACK ANGUS Гамбринус;ресторан;37.5915442197005000;55.7728828368871000;4,4;636;48,6656225;75,36171943
Тверской;Captains coffee;кафетерий;37.5915920000000130;55.7808917646473500;4,2;3;23,95588639;22,24922775
Тверской;Тable;кафе;37.5915920000000130;55.7808917646473500;4,6;147;44,13977275;65,63360433
Тверской;Домино'с Пицца;предприятие быстрого обслуживания;37.5915920000000130;55.7808917646473500;4;95;36,63618831;49,50497938
Тверской;APPLE and PERRY SHED;бар;37.5916169999999990;55.7801437644296880;5;32;40,35453044;57,49739236
Тверской;Мясо и паста;кафе;37.5917979999999970;55.7790107641000570;4,2;93;38,37863265;53,2502869
Тверской;Хинкали Пойнт;кафе;37.5921810000000040;55.7804927645312320;4,4;376;46,35294105;70,39071231
Тверской;Аленка;кафе;37.5925879009323940;55.7724412251572300;4,1;1;18,88119776;11,34140759
Тверской;ПИЛЗНЕР;ресторан;37.5927057446043020;55.7715639199224430;4,4;653;48,78168819;75,61119753
Тверской;Чайхона №1;кафе;37.5927970000000000;55.7714940000000000;4,3;475;46,30448546;70,28655914
Тверской;Якитория;кафе;37.5927970000000000;55.7714940000000000;4,3;382;45,36754042;68,27263696
Тверской;ТРИУМФ;кафе;37.5929195495495000;55.7885289972103000;4,3;96;39,42892902;55,50785279
Тверской;ПаПан;магазин (отдел кулинарии);37.5935169999999910;55.7879877667127530;4,7;24;36,58115288;49,38668313
Тверской;Pho Pho;кафе;37.5937494238786980;55.7877237032601630;4,4;28;34,92444866;45,82567024
Тверской;Mentano;кафе;37.5937714781118610;55.7704388223887970;4,3;88;39,0547801;54,70363613
Тверской;OnePriceCoffee;кафетерий;37.5942569999999920;55.7714217618929520;4,2;9;28,57005801;32,16718682
Тверской;SeDelice Французская пекарня;кафетерий;37.5942820000000000;55.7714117618900500;4,3;58;37,26213675;50,85042803
Тверской;Кофепорт;кафе;37.5943969560627660;55.7870143750042400;4,4;89;40,01274885;56,76274784
Тверской;Баяр;кафе;37.5943969560627660;55.7870143750042400;4,5;139;42,92839854;63,02980869
Тверской;PAPA BARVILLAGE;ресторан;37.5944153622272810;55.7699792210136000;4,6;110;42,80599254;62,76670238
Тверской;СУП;кафе;37.5953113668808070;55.7703971417882510;4,7;1566;56,21881529;91,59697536
Тверской;Кофейня 1554;кафетерий;37.5955139999999940;55.7867527663531750;4,6;89;41,83151016;60,67209533
Тверской;Шоколадница;кафе;37.5956299828426000;55.7759239648047000;4,1;105;37,9624352;52,35568877
Тверской;Кулинарная лавка братьев Караваевых;магазин (отдел кулинарии);37.5957790000000000;55.7718080000000000;4,4;333;45,81857577;69,24211763
Тверской;Кебаб Хаус;предприятие быстрого обслуживания;37.5958199999999890;55.7856027660184000;4,2;40;34,83500849;45,63342252
Тверской;Kill Fish;бар;37.5958199999999890;55.7856027660184000;4,3;333;44,77724451;67,00382184
Тверской;PUB GUNS BEARS;бар;37.5958199999999890;55.7856027660184000;4,5;365;47,27280393;72,36791713
Тверской;Мосдонер;кафе;37.5958593893983210;55.7856361236163000;4,4;349;46,02506528;69,68595774
Тверской;Жаворонки и совы;кафе;37.5958970000000010;55.7711347618095130;4,3;59;37,33564281;51,00842608
Тверской;Studio 46;бар;37.5960310000000000;55.7854170000000000;4,4;154;42,42534027;61,94850706
Тверской;Mendeleev Lounge;кафе;37.5963320000000040;55.7688827611548770;4,7;91;42,84533955;62,85127706
Тверской;Чито Ра;кафе;37.5963700000000000;55.7833487653623270;4,5;319;46,6666258;71,06496389
Тверской;Якитория;кафе;37.5964460000000070;55.7683097609883300;4,4;230;44,19029778;65,74220565
Тверской;KFC;предприятие быстрого обслуживания;37.5964949603601000;55.7700161887316000;4,3;612;47,39418061;72,62881098
Тверской;Иль Патио;ресторан;37.5965449551381000;55.7706352070318000;4,3;418;45,75480196;69,10503862
Тверской;ШПАТЕН-ХАУС;ресторан;37.5966069999999920;55.7707007616833580;4,3;335;44,80299309;67,05916729
Тверской;Lao Lee;кафе;37.5966120000000070;55.7789837640922030;4,6;836;52,13547448;82,82001374
Тверской;СОЛО;кафе;37.5966302373572600;55.7700470419260910;4,3;89;39,10336819;54,80807409
Тверской;Share House;бар;37.5967589999999990;55.7708317617214390;4,7;181;46,07723592;69,79809625
Тверской;PIVBAR;бар;37.5967745571637120;55.7701302842196610;4,7;379;49,55072004;77,26419769
Тверской;SeDelice Французская пекарня;кафе;37.5968649999999870;55.7844697656885980;4,2;5;26,10135401;26,8608161
Тверской;Чайковский;кафе;37.5969373978089000;55.7691642013818000;4,7;342;49,06791034;76,22641946
Тверской;Просвет;кафе;37.5969680000000110;55.7758137631700990;4,7;84;42,46913883;62,04265014
Тверской;VALDO Prosecco Bar;бар;37.5969720000000010;55.7703807615903100;4,3;35;35,09022846;46,18200664
Тверской;Babes Never Die;бар;37.5969720000000010;55.7703807615903100;4,9;55;42,20126652;61,46687038
Тверской;Гастрорюмочная 6 YOU 6;кафе;37.5969720000000010;55.7703807615903100;4,4;28;34,92444866;45,82567024
Тверской;FLIP;кафе;37.5969720000000010;55.7703807615903100;4,1;9;27,88981853;30,70504197
Тверской;Винный бар 13;бар;37.5969866426088900;55.7722603693905870;4,7;158;45,43849653;68,425154
Тверской;Мимино;ресторан;37.5970730355072010;55.7843101059384740;4,2;296;43,24122449;63,70221433
Тверской;Мистер Донер 24;кафе;37.5970730355072010;55.7843101059384740;4,1;2;21,7231012;17,44995412
Тверской;Сабвей;предприятие быстрого обслуживания;37.5973740000000020;55.7839277655308410;4;1;18,42068074;10,3515465
Тверской;PizzaUno;кафе;37.5973740000000020;55.7839277655308410;4,6;25;35,99061165;48,11734072
Тверской;Рыбный Базар;ресторан;37.5974576392925000;55.7653621504589000;4,7;531;51,13568137;80,67100242
Тверской;АВ-Дейли;кафетерий;37.5975504350354800;55.7686472337689030;4,2;33;34,02704654;43,89674382
Тверской;Cofix-Bright;кафе;37.5975504350354800;55.7686472337689030;4,2;82;37,84993562;52,11387587
Тверской;Моремания;кафе;37.5977859999999990;55.7678937608674160;4,9;398;51,89894874;82,31161206
Тверской;Марукамэ;предприятие быстрого обслуживания;37.5977859999999990;55.7678937608674160;4,7;275;48,04312403;74,02368634
Тверской;Прайм стар;кафе;37.5978169999999990;55.7819327649502550;4,2;58;36,39557543;48,98779256
Тверской;Джон Джоли;ресторан;37.5978650000000130;55.7697997614214240;4,5;555;49,15862235;76,42140094
Тверской;Кулинариум;магазин (отдел кулинарии);37.5979384016082460;55.7821992560385810;4,2;30;33,62674378;43,03631064
Тверской;Хет трик;бар;37.5980309999999990;55.7712947618560340;4,4;31;35,37229252;46,78829092
Тверской;Коте Азур;ресторан;37.5980471251085500;55.7813353270554870;4;1;18,42068074;10,3515465
Тверской;DUCKSTARS;бар;37.5980799024525680;55.7677414072701790;4,5;748;50,50157924;79,30802774
Тверской;El Idilio;ресторан;37.5981766818372000;55.7676412272890000;4,7;146;45,067251;67,62717805
Тверской;Шоколадница;кафе;37.5982437599817000;55.7683568498703000;4,2;216;41,91788409;60,85775231
Тверской;Dry and wet Bar;ресторан;37.5982925580481000;55.7680590620305000;4,7;180;46,05119707;69,74212689
Тверской;Roaster coffee;кафе;37.5984110000000000;55.7718840000000000;4,4;327;45,73857357;69,07015641
Тверской;We Cidreria;ресторан;37.5985311570000180;55.7679816820000200;4,9;788;55,24587455;89,50568199
Тверской;Дабл Би;кафетерий;37.5985530000000100;55.7789757640898860;4,3;44;36,07424723;48,29711171
Тверской;Osteria Unica;ресторан;37.5986070000000150;55.7675097607558290;4,5;68;39,71105051;56,11426053
Тверской;Вьет кафе;кафе;37.5986448924930000;55.7779369302355000;4,4;133;41,78028498;60,56198907
Тверской;Tako Project;кафе;37.5986710000000030;55.7790607641145970;4,4;65;38,63005281;53,79070347
Тверской;Хмель и Эль;ресторан;37.5987053000000000;55.7650170000000000;4,6;215;45,88871778;69,3928848
Тверской;MOSCOW;кафе;37.5987120719560000;55.7702746097930000;4,6;110;42,80599254;62,76670238
Тверской;Траттория Венеция;кафе;37.5988882225796000;55.7715435918733000;4,4;227;44,1325289;65,61803397
Тверской;Smoker street;бар;37.5989149999999980;55.7780547638219490;4,6;108;42,7215865;62,58527531
Тверской;Хлеб насущный;кафе;37.5989834627268210;55.7810890824221060;4,3;124;40,52944253;57,8733582
Тверской;Чайхона Xaliflife;кафе;37.5991459999999830;55.7736387625375730;4,8;74;42,76432934;62,67714917
